ENV	IP_PUBLIQUE	HOSTNAME	IP_PRIVEE	FQDN	USER_SSH	POOL	ROLE	SUBROLE	DOCKER_STACK	CORE	NOTES
prod	91.98.124.228	k8s-master-01	10.0.0.100	master1.keybuzz.io	root	k3s-masters	k3s	master	k3s-control-plane	yes	Master K3s #1 (api-server, etcd intégré)
prod	91.98.117.26	k8s-master-02	10.0.0.101	master2.keybuzz.io	root	k3s-masters	k3s	master	k3s-control-plane	yes	Master K3s #2
prod	91.98.165.238	k8s-master-03	10.0.0.102	master3.keybuzz.io	root	k3s-masters	k3s	master	k3s-control-plane	yes	Master K3s #3
prod	116.203.135.192	k8s-worker-01	10.0.0.110	worker1.keybuzz.io	root	k3s-workers	k3s	worker	k3s-worker-general	yes	Worker K3s (KeyBuzz API/Front, Chatwoot, n8n…)
prod	91.99.164.62	k8s-worker-02	10.0.0.111	worker2.keybuzz.io	root	k3s-workers	k3s	worker	k3s-worker-general	yes	Worker K3s
prod	157.90.119.183	k8s-worker-03	10.0.0.112	worker3.keybuzz.io	root	k3s-workers	k3s	worker	k3s-worker-heavy	yes	Worker K3s (workloads IA plus lourds)
prod	91.98.200.38	k8s-worker-04	10.0.0.113	worker4.keybuzz.io	root	k3s-workers	k3s	worker	k3s-worker-observability	yes	Worker K3s (monitoring, jobs batch, etc.)
prod	188.245.45.242	k8s-worker-05	10.0.0.114	worker5.keybuzz.io	root	k3s-workers	k3s	worker	k3s-worker-extra	no	Worker K3s supplémentaire (scalabilité / réserve)
prod	195.201.122.106	db-master-01	10.0.0.120	db-master.keybuzz.io	root	db-pool	db	postgres	patroni-node	yes	PostgreSQL 16 + Patroni (conteneur docker "patroni")
prod	91.98.169.31	db-slave-01	10.0.0.121	db-slave1.keybuzz.io	root	db-pool	db	postgres	patroni-node	yes	PostgreSQL 16 + Patroni (réplica)
prod	65.21.251.198	db-slave-02	10.0.0.122	db-slave2.keybuzz.io	root	db-pool	db	postgres	patroni-node	yes	PostgreSQL 16 + Patroni (réplica)
prod	49.12.231.193	redis-01	10.0.0.123	redis1.keybuzz.io	root	redis-pool	redis	master	redis-ha-docker	yes	Redis HA master (cluster/sentinel, exposé via 10.0.0.10:6379)
prod	23.88.48.163	redis-02	10.0.0.124	redis2.keybuzz.io	root	redis-pool	redis	replica	redis-ha-docker	yes	Redis HA replica
prod	91.98.167.166	redis-03	10.0.0.125	redis3.keybuzz.io	root	redis-pool	redis	replica	redis-ha-docker	yes	Redis HA replica / Sentinel
prod	23.88.105.16	queue-01	10.0.0.126	queue1.keybuzz.io	root	queue-pool	queue	rabbitmq	rabbitmq-ha-docker	yes	RabbitMQ quorum cluster (nœud 1, exposé via 10.0.0.10:5672)
prod	91.98.167.159	queue-02	10.0.0.127	queue2.keybuzz.io	root	queue-pool	queue	rabbitmq	rabbitmq-ha-docker	yes	RabbitMQ quorum cluster (nœud 2)
prod	91.98.68.35	queue-03	10.0.0.128	queue3.keybuzz.io	root	queue-pool	queue	rabbitmq	rabbitmq-ha-docker	yes	RabbitMQ quorum cluster (nœud 3)
prod	88.99.227.128	temporal-db-01	10.0.0.129	temporal-db.keybuzz.io	root	temporal	db	postgres	temporal-db-docker	no	DB Temporal (peut être dépriorisée si n8n devient moteur central)
prod	91.98.197.70	temporal-01	10.0.0.138	temporal.keybuzz.io	root	temporal	app	temporal	temporal-server-docker	no	Serveur Temporal (à rediscuter vs n8n)
prod	91.98.134.176	analytics-db-01	10.0.0.130	analytics-db.keybuzz.io	root	analytics	db	postgres	analytics-db-docker	no	DB Analytics (BI / reporting)
prod	91.99.237.167	analytics-01	10.0.0.139	analytics.keybuzz.io	root	analytics	app	analytics	analytics-app-docker	no	Moteur Analytics (ETL, dashboards)
prod	116.203.144.185	minio-01	10.0.0.134	s3.keybuzz.io	root	storage	storage	minio	minio-docker	yes	MinIO node #1
prod	91.99.199.183	minio-02	10.0.0.131	minio-02.keybuzz.io	root	storage	storage	minio	minio-docker	yes	MinIO node #2 (ex-connect-01)
prod	91.99.103.47	minio-03	10.0.0.132	minio-03.keybuzz.io	root	storage	storage	minio	minio-docker	yes	MinIO node #3 (ex-connect-02)
