ENV	IP_PUBLIQUE	HOSTNAME	IP_PRIVEE	FQDN	USER_SSH	POOL	ROLE	SUBROLE	DOCKER_STACK	CORE	NOTES	ROLE_V3
prod	91.98.124.228	k8s-master-01	10.0.0.100	master1.keybuzz.io	root	k3s-masters	k3s	master	k3s-control-plane	yes	Master K3s #1 (api-server, etcd intégré)	k8s_master
prod	91.98.117.26	k8s-master-02	10.0.0.101	master2.keybuzz.io	root	k3s-masters	k3s	master	k3s-control-plane	yes	Master K3s #2	k8s_master
prod	91.98.165.238	k8s-master-03	10.0.0.102	master3.keybuzz.io	root	k3s-masters	k3s	master	k3s-control-plane	yes	Master K3s #3	k8s_master
prod	116.203.135.192	k8s-worker-01	10.0.0.110	worker1.keybuzz.io	root	k3s-workers	k3s	worker	k3s-worker-general	yes	Worker K3s (KeyBuzz API/Front, Chatwoot, n8n…)	k8s_worker
prod	91.99.164.62	k8s-worker-02	10.0.0.111	worker2.keybuzz.io	root	k3s-workers	k3s	worker	k3s-worker-general	yes	Worker K3s	k8s_worker
prod	157.90.119.183	k8s-worker-03	10.0.0.112	worker3.keybuzz.io	root	k3s-workers	k3s	worker	k3s-worker-heavy	yes	Worker K3s (workloads IA plus lourds)	k8s_worker
prod	91.98.200.38	k8s-worker-04	10.0.0.113	worker4.keybuzz.io	root	k3s-workers	k3s	worker	k3s-worker-observability	yes	Worker K3s (monitoring, jobs batch, etc.)	k8s_worker
prod	188.245.45.242	k8s-worker-05	10.0.0.114	worker5.keybuzz.io	root	k3s-workers	k3s	worker	k3s-worker-extra	no	Worker K3s supplémentaire (scalabilité / réserve)	k8s_worker
prod	195.201.122.106	db-master-01	10.0.0.120	db-master.keybuzz.io	root	db-pool	db	postgres	patroni-node	yes	PostgreSQL 16 + Patroni (conteneur docker "patroni")	db_postgres
prod	91.98.169.31	db-slave-01	10.0.0.121	db-slave1.keybuzz.io	root	db-pool	db	postgres	patroni-node	yes	PostgreSQL 16 + Patroni (réplica)	db_postgres
prod	65.21.251.198	db-slave-02	10.0.0.122	db-slave2.keybuzz.io	root	db-pool	db	postgres	patroni-node	yes	PostgreSQL 16 + Patroni (réplica)	db_postgres
